Time [h],"PCE, %",Voc [mV],Jsc [mA/cm2],FF [%]
0.0,13.91944,,,
0.08333,12.70278,,,
0.16667,11.83611,,,
0.25,11.00556,,,
0.33333,10.60278,,,
0.41667,9.81667,,,
0.5,10.84444,,,
0.58333,10.11111,,,
0.66667,9.95556,,,
0.75,10.21111,,,
0.83333,10.30833,,,
0.91667,10.01944,,,
1.0,10.15556,,,
1.08333,9.89722,,,
1.16667,9.97222,,,
1.25,10.75,,,
1.33333,10.34167,,,
1.41667,10.0,,,
1.5,10.21667,,,
1.58333,10.28611,,,
1.66667,10.25556,,,
1.75,10.07222,,,
1.83333,10.20278,,,
1.91667,9.96944,,,
2.0,10.12222,,,
2.08333,10.51111,,,
2.16667,10.44444,,,
2.25,10.41667,,,
2.33333,10.07778,,,
2.41667,10.44444,,,
2.5,10.53056,,,
2.58333,10.56667,,,
2.66667,10.23056,,,
2.75,10.29722,,,
2.83333,10.7,,,
2.91667,10.64167,,,
3.0,10.59167,,,
3.08333,10.82778,,,
3.16667,10.71667,,,
3.25,10.64722,,,
3.33333,11.02778,,,
3.41667,10.69167,,,
3.5,10.51944,,,
3.58333,10.60556,,,
3.66667,10.69722,,,
3.75,10.86944,,,
3.83333,10.70556,,,
3.91667,10.77222,,,
4.0,10.78056,,,
4.08333,10.52778,,,
4.16667,11.28056,,,
4.25,10.76111,,,
4.33333,10.94444,,,
4.41667,11.09167,,,
4.5,11.28333,,,
4.58333,10.99167,,,
4.66667,11.01944,,,
4.75,10.83056,,,
4.83333,11.31667,,,
4.91667,10.95833,,,
5.0,10.83333,,,
5.08333,10.98333,,,
5.16667,11.13611,,,
5.25,11.21111,,,
5.33333,11.16389,,,
5.41667,10.91111,,,
5.5,11.14167,,,
5.58333,11.63889,,,
5.66667,11.20556,,,
5.75,11.34444,,,
5.83333,11.11111,,,
5.91667,11.22778,,,
6.0,11.01111,,,
6.08333,11.00278,,,
6.16667,11.38889,,,
6.25,11.41111,,,
6.33333,11.35,,,
6.41667,11.27778,,,
6.5,11.36389,,,
6.58333,11.49444,,,
6.66667,10.81389,,,
6.75,10.54722,,,
6.83333,11.25278,,,
6.91667,11.15278,,,
7.0,10.96667,,,
7.08333,11.64722,,,
7.16667,11.51389,,,
7.25,11.58889,,,
7.33333,11.32778,,,
7.41667,11.06389,,,
7.5,11.59167,,,
7.58333,11.51111,,,
7.66667,11.73333,,,
7.75,10.76389,,,
7.83333,11.325,,,
7.91667,10.82778,,,
8.0,11.05556,,,
8.08333,11.51389,,,
8.16667,11.04167,,,
8.25,11.73889,,,
8.33333,11.33056,,,
8.41667,11.76111,,,
8.5,11.3,,,
8.58333,11.50556,,,
8.66667,11.20833,,,
8.75,11.18889,,,
8.83333,11.2,,,
8.91667,11.75278,,,
9.0,11.33056,,,
9.08333,11.35556,,,
9.16667,11.05278,,,
9.25,11.33056,,,
9.33333,11.13333,,,
9.41667,12.09722,,,
9.5,11.95278,,,
9.58333,11.75,,,
9.66667,11.73333,,,
9.75,11.06667,,,
9.83333,11.64167,,,
9.91667,11.65833,,,
10.0,11.66389,,,
10.08333,11.27778,,,
10.16667,11.775,,,
10.25,11.21667,,,
10.33333,11.56111,,,
10.41667,11.61389,,,
10.5,11.375,,,
10.58333,11.075,,,
10.66667,11.975,,,
10.75,11.64167,,,
10.83333,11.53056,,,
10.91667,11.73889,,,
11.0,11.20278,,,
11.08333,11.36944,,,
11.16667,11.50278,,,
11.25,11.75278,,,
11.33333,11.97222,,,
11.41667,11.575,,,
11.5,11.58611,,,
11.58333,11.875,,,
11.66667,11.64722,,,
11.75,11.88611,,,
11.83333,11.75833,,,
11.91667,11.77778,,,
12.0,11.70556,,,
12.08333,11.68889,,,
12.16667,11.28889,,,
12.25,12.06667,,,
12.33333,11.61389,,,
12.41667,11.66667,,,
12.5,11.46667,,,
12.58333,11.94722,,,
12.66667,11.74167,,,
12.75,11.75278,,,
12.83333,11.79167,,,
12.91667,11.98056,,,
13.0,11.13056,,,
13.08333,12.09444,,,
13.16667,11.48889,,,
13.25,11.83611,,,
13.33333,11.77778,,,
13.41667,11.84167,,,
13.5,11.51111,,,
13.58333,12.34722,,,
13.66667,11.54167,,,
13.75,11.96389,,,
13.83333,11.81389,,,
13.91667,11.8,,,
14.0,11.8,,,
14.08333,11.66944,,,
14.16667,11.56944,,,
14.25,11.46667,,,
14.33333,11.71667,,,
14.41667,11.65278,,,
14.5,11.81944,,,
14.58333,12.18333,,,
14.66667,11.70833,,,
14.75,11.93056,,,
14.83333,11.38889,,,
14.91667,11.91111,,,
15.0,11.75833,,,
15.08333,11.975,,,
15.16667,11.84167,,,
15.25,11.95556,,,
15.33333,12.31944,,,
15.41667,12.28333,,,
15.5,11.83333,,,
15.58333,11.91944,,,
15.66667,11.48056,,,
15.75,11.33611,,,
15.83333,11.92778,,,
15.91667,12.15278,,,
16.0,12.15,,,
16.08333,11.51667,,,
16.16667,11.47778,,,
16.25,11.93056,,,
16.33333,11.75278,,,
16.41667,12.025,,,
16.5,11.24167,,,
16.58333,11.59722,,,
16.66667,11.88333,,,
16.75,12.33611,,,
16.83333,11.10278,,,
16.91667,12.0,,,
17.0,11.79167,,,
17.08333,12.10833,,,
17.16667,11.91667,,,
17.25,12.01389,,,
17.33333,11.46389,,,
17.41667,11.81111,,,
17.5,11.44444,,,
17.58333,11.93889,,,
17.66667,11.38333,,,
17.75,11.85278,,,
17.83333,11.78333,,,
17.91667,12.09722,,,
18.0,11.96389,,,
18.08333,12.34167,,,
18.16667,11.96944,,,
18.25,11.98611,,,
18.33333,12.175,,,
18.41667,11.75556,,,
18.5,11.76389,,,
18.58333,12.05833,,,
18.66667,11.73333,,,
18.75,12.46667,,,
18.83333,12.12222,,,
18.91667,11.85833,,,
19.0,12.05556,,,
19.08333,11.93056,,,
19.16667,11.75833,,,
19.25,11.65833,,,
19.33333,11.87778,,,
19.41667,11.58333,,,
19.5,11.87778,,,
19.58333,11.96667,,,
19.66667,12.04444,,,
19.75,12.05556,,,
19.83333,12.11111,,,
19.91667,11.95278,,,
20.0,12.14722,,,
20.08333,12.14722,,,
20.16667,12.10278,,,
20.25,12.125,,,
20.33333,12.2,,,
20.41667,12.06667,,,
20.5,12.10556,,,
20.58333,11.89444,,,
20.66667,11.99444,,,
20.75,12.02222,,,
20.83333,11.66944,,,
20.91667,12.28889,,,
21.0,12.55556,,,
21.08333,12.45,,,
21.16667,12.39167,,,
21.25,11.95833,,,
21.33333,11.85833,,,
21.41667,12.13611,,,
21.5,12.24444,,,
21.58333,12.57778,,,
21.66667,12.53056,,,
21.75,12.18333,,,
21.83333,12.10833,,,
21.91667,12.13889,,,
22.0,12.07778,,,
22.08333,11.98333,,,
22.16667,12.19444,,,
22.25,11.88889,,,
22.33333,11.81667,,,
22.41667,12.27222,,,
22.5,12.13333,,,
22.58333,12.22222,,,
22.66667,12.31111,,,
22.75,12.26944,,,
22.83333,12.2,,,
22.91667,12.10833,,,
23.0,11.93056,,,
23.08333,12.46944,,,
23.16667,11.94444,,,
23.25,12.17778,,,
23.33333,12.20278,,,
23.41667,12.08611,,,
23.5,12.55,,,
23.58333,12.46389,,,
23.66667,12.225,,,
23.75,12.36389,,,
23.83333,11.76667,,,
23.91667,11.625,,,
24.0,12.01389,,,
24.08333,11.90833,,,
24.16667,12.01389,,,
24.25,12.23889,,,
24.33333,12.09444,,,
24.41667,11.63889,,,
24.5,12.57222,,,
24.58333,11.99722,,,
24.66667,12.21667,,,
24.75,12.43611,,,
24.83333,12.25556,,,
24.91667,12.49444,,,
25.0,12.29444,,,
25.08333,12.06389,,,
25.16667,12.08056,,,
25.25,12.20278,,,
25.33333,12.23611,,,
25.41667,12.19722,,,
25.5,12.04722,,,
25.58333,11.84444,,,
25.66667,12.55278,,,
25.75,13.18889,,,
25.83333,12.46944,,,
25.91667,12.33611,,,
26.0,12.61111,,,
26.08333,12.03056,,,
26.16667,12.18889,,,
26.25,12.78056,,,
26.33333,11.90556,,,
26.41667,11.72222,,,
26.5,12.05833,,,
26.58333,12.93333,,,
26.66667,12.8,,,
26.75,12.41111,,,
26.83333,12.29167,,,
26.91667,12.32222,,,
27.0,11.93333,,,
27.08333,12.15556,,,
27.16667,12.26389,,,
27.25,12.08611,,,
27.33333,12.44722,,,
27.41667,12.63611,,,
27.5,12.90556,,,
27.58333,12.46667,,,
27.66667,12.29444,,,
27.75,12.16944,,,
27.83333,12.28333,,,
27.91667,12.57778,,,
28.0,11.85556,,,
28.08333,12.16389,,,
28.16667,11.41389,,,
28.25,11.94722,,,
28.33333,12.07778,,,
28.41667,12.36111,,,
28.5,12.22222,,,
28.58333,12.23889,,,
28.66667,12.33611,,,
28.75,12.52222,,,
28.83333,11.73611,,,
28.91667,12.11667,,,
29.0,12.23889,,,
29.08333,12.2,,,
29.16667,12.04167,,,
29.25,12.3,,,
29.33333,12.41111,,,
29.41667,12.36111,,,
29.5,12.57222,,,
29.58333,11.91667,,,
29.66667,12.12222,,,
29.75,11.55,,,
29.83333,11.70278,,,
29.91667,12.01111,,,
30.0,12.19167,,,
30.08333,12.12222,,,
30.16667,12.41667,,,
30.25,12.31389,,,
30.33333,12.68611,,,
30.41667,11.84722,,,
30.5,11.98889,,,
30.58333,11.85278,,,
30.66667,11.87222,,,
30.75,12.21667,,,
30.83333,12.28889,,,
30.91667,12.04444,,,
31.0,12.13056,,,
31.08333,12.19167,,,
31.16667,11.89167,,,
31.25,11.81944,,,
31.33333,11.69167,,,
31.41667,11.94722,,,
31.5,11.59444,,,
31.58333,12.68889,,,
31.66667,12.20833,,,
31.75,12.525,,,
31.83333,12.40278,,,
31.91667,12.55,,,
32.0,12.16944,,,
32.08333,11.95278,,,
32.16667,12.21389,,,
32.25,12.62222,,,
32.33333,12.06667,,,
32.41667,11.87222,,,
32.5,11.93889,,,
32.58333,12.14167,,,
32.66667,12.08611,,,
32.75,11.90833,,,
32.83333,12.41389,,,
32.91667,12.3,,,
33.0,12.29167,,,
33.08333,12.61389,,,
33.16667,12.41111,,,
33.25,12.41389,,,
33.33333,12.33611,,,
33.41667,12.74722,,,
33.5,12.68611,,,
33.58333,12.44444,,,
33.66667,12.30556,,,
33.75,12.23333,,,
33.83333,12.40278,,,
33.91667,12.62222,,,
34.0,12.18056,,,
34.08333,12.43056,,,
34.16667,12.53611,,,
34.25,12.59167,,,
34.33333,12.56944,,,
34.41667,12.6,,,
34.5,12.26944,,,
34.58333,12.15278,,,
34.66667,12.775,,,
34.75,12.86111,,,
34.83333,12.52778,,,
34.91667,12.63889,,,
35.0,12.06111,,,
35.08333,12.52778,,,
35.16667,12.60556,,,
35.25,12.39444,,,
35.33333,12.43333,,,
35.41667,12.78889,,,
35.5,12.96111,,,
35.58333,12.50278,,,
35.66667,12.90556,,,
35.75,13.09722,,,
35.83333,12.16667,,,
35.91667,12.625,,,
36.0,12.66111,,,
36.08333,12.19722,,,
36.16667,12.05556,,,
36.25,12.68333,,,
36.33333,12.24722,,,
36.41667,12.70556,,,
36.5,12.46111,,,
36.58333,12.36389,,,
36.66667,12.60556,,,
36.75,12.50278,,,
36.83333,12.39167,,,
36.91667,12.71389,,,
37.0,12.48333,,,
37.08333,12.62778,,,
37.16667,12.56944,,,
37.25,12.09167,,,
37.33333,12.45278,,,
37.41667,12.45556,,,
37.5,12.14167,,,
37.58333,11.63333,,,
37.66667,12.53333,,,
37.75,12.26111,,,
37.83333,12.64444,,,
37.91667,12.54167,,,
38.0,12.26111,,,
38.08333,12.45833,,,
38.16667,12.53333,,,
38.25,12.23333,,,
38.33333,12.125,,,
38.41667,12.65278,,,
38.5,12.90833,,,
38.58333,13.04167,,,
38.66667,12.48333,,,
38.75,12.58056,,,
38.83333,12.575,,,
38.91667,12.66667,,,
39.0,12.35556,,,
39.08333,12.07222,,,
39.16667,12.85556,,,
39.25,12.66111,,,
39.33333,12.41111,,,
39.41667,12.36667,,,
39.5,12.475,,,
39.58333,12.74722,,,
39.66667,12.50556,,,
39.75,12.74167,,,
39.83333,12.86944,,,
39.91667,12.475,,,
40.0,12.95556,,,
40.08333,12.71944,,,
40.16667,12.33333,,,
40.25,11.89722,,,
40.33333,12.1,,,
40.41667,12.16667,,,
40.5,12.64444,,,
40.58333,12.7,,,
40.66667,12.31667,,,
40.75,12.23333,,,
40.83333,12.95278,,,
40.91667,12.31667,,,
41.0,12.89167,,,
41.08333,13.325,,,
41.16667,13.39722,,,
41.25,12.87222,,,
41.33333,12.725,,,
41.41667,12.63889,,,
41.5,12.64722,,,
41.58333,12.88056,,,
41.66667,12.65833,,,
41.75,12.67222,,,
41.83333,12.56944,,,
41.91667,12.55,,,
42.0,12.60556,,,
42.08333,12.95556,,,
42.16667,12.84722,,,
42.25,12.95,,,
42.33333,12.77778,,,
42.41667,12.27222,,,
42.5,12.91667,,,
42.58333,12.77222,,,
42.66667,13.15556,,,
42.75,12.10278,,,
42.83333,12.51389,,,
42.91667,12.56389,,,
43.0,12.75278,,,
43.08333,12.46944,,,
43.16667,12.11111,,,
43.25,13.17222,,,
43.33333,12.77778,,,
43.41667,12.80278,,,
43.5,12.75556,,,
43.58333,12.73889,,,
43.66667,12.83333,,,
43.75,13.16111,,,
43.83333,12.56944,,,
43.91667,13.10556,,,
44.0,12.575,,,
44.08333,13.04167,,,
44.16667,13.06111,,,
44.25,12.8,,,
44.33333,12.49444,,,
44.41667,13.02222,,,
44.5,13.02778,,,
44.58333,12.71389,,,
44.66667,12.6,,,
44.75,12.8,,,
44.83333,12.52778,,,
44.91667,13.33056,,,
45.0,13.375,,,
45.08333,13.05,,,
45.16667,13.03333,,,
45.25,13.05,,,
45.33333,12.84722,,,
45.41667,12.78611,,,
45.5,12.71389,,,
45.58333,12.74444,,,
45.66667,12.51389,,,
45.75,12.84167,,,
45.83333,13.32222,,,
45.91667,13.34444,,,
46.0,13.38056,,,
46.08333,12.99167,,,
46.16667,13.15556,,,
46.25,12.8,,,
46.33333,12.95278,,,
46.41667,12.96667,,,
46.5,12.56111,,,
46.58333,12.93056,,,
46.66667,12.97222,,,
46.75,12.84167,,,
46.83333,13.41111,,,
46.91667,12.68611,,,
47.0,13.20833,,,
47.08333,13.58889,,,
47.16667,12.86111,,,
47.25,13.00833,,,
47.33333,13.37222,,,
47.41667,13.40278,,,
47.5,12.93889,,,
47.58333,12.25,,,
47.66667,13.35556,,,
47.75,13.57778,,,
47.83333,13.33889,,,
47.91667,13.08889,,,
48.0,12.76944,,,
48.08333,12.775,,,
48.16667,13.09167,,,
48.25,12.77222,,,
48.33333,13.11667,,,
48.41667,12.85,,,
48.5,12.52222,,,
48.58333,12.35278,,,
48.66667,13.3,,,
48.75,13.19167,,,
48.83333,12.43333,,,
48.91667,12.37222,,,
49.0,12.91944,,,
49.08333,12.69167,,,
49.16667,12.77222,,,
49.25,13.31111,,,
49.33333,12.98611,,,
49.41667,12.91111,,,
49.5,12.96389,,,
49.58333,13.11111,,,
49.66667,13.16944,,,
49.75,13.26667,,,
49.83333,13.15,,,
49.91667,12.83889,,,
50.0,13.49167,,,
50.08333,12.86667,,,
50.16667,13.36944,,,
50.25,12.86111,,,
50.33333,13.11389,,,
50.41667,13.075,,,
50.5,13.15278,,,
50.58333,12.73889,,,
50.66667,12.94722,,,
50.75,12.52778,,,
50.83333,13.15556,,,
50.91667,12.86667,,,
51.0,12.74444,,,
51.08333,12.64444,,,
51.16667,13.03056,,,
51.25,13.44167,,,
51.33333,12.94722,,,
51.41667,13.24444,,,
51.5,12.96111,,,
51.58333,13.25556,,,
51.66667,12.67222,,,
51.75,13.19722,,,
51.83333,12.33611,,,
51.91667,12.9,,,
52.0,12.77778,,,
52.08333,12.91667,,,
52.16667,12.77222,,,
52.25,13.08889,,,
52.33333,12.96667,,,
52.41667,13.00278,,,
52.5,13.11944,,,
52.58333,13.43333,,,
52.66667,12.83889,,,
52.75,13.31667,,,
52.83333,13.275,,,
52.91667,12.425,,,
53.0,12.93333,,,
53.08333,13.35278,,,
53.16667,12.98889,,,
53.25,12.74722,,,
53.33333,13.30556,,,
53.41667,13.75833,,,
53.5,12.975,,,
53.58333,13.19444,,,
53.66667,12.89722,,,
53.75,13.23056,,,
53.83333,13.24722,,,
53.91667,12.66944,,,
54.0,12.68611,,,
54.08333,12.75278,,,
54.16667,12.70833,,,
54.25,13.33333,,,
54.33333,13.2,,,
54.41667,13.41667,,,
54.5,13.28611,,,
54.58333,13.01667,,,
54.66667,13.63889,,,
54.75,13.01944,,,
54.83333,12.69444,,,
54.91667,13.50833,,,
55.0,13.67222,,,
55.08333,12.91389,,,
55.16667,12.85,,,
55.25,13.51389,,,
55.33333,13.28611,,,
55.41667,13.38056,,,
55.5,12.89722,,,
55.58333,12.59167,,,
55.66667,13.29722,,,
55.75,13.15556,,,
55.83333,13.31389,,,
55.91667,13.29722,,,
56.0,13.06111,,,
56.08333,12.9,,,
56.16667,12.98611,,,
56.25,13.44722,,,
56.33333,13.31944,,,
56.41667,13.66389,,,
56.5,12.96667,,,
56.58333,12.91667,,,
56.66667,13.30278,,,
56.75,13.21111,,,
56.83333,12.925,,,
56.91667,13.275,,,
57.0,13.34444,,,
57.08333,13.30833,,,
57.16667,13.05278,,,
57.25,12.55556,,,
57.33333,13.48056,,,
57.41667,13.12222,,,
57.5,13.56111,,,
57.58333,13.04722,,,
57.66667,13.68611,,,
57.75,13.24167,,,
57.83333,13.14167,,,
57.91667,13.59444,,,
58.0,13.06944,,,
58.08333,13.43056,,,
58.16667,13.20556,,,
58.25,13.64167,,,
58.33333,13.11667,,,
58.41667,12.59722,,,
58.5,13.04722,,,
58.58333,13.45556,,,
58.66667,13.03611,,,
58.75,13.05556,,,
58.83333,12.98056,,,
58.91667,13.15278,,,
59.0,13.21944,,,
59.08333,13.28611,,,
59.16667,13.53056,,,
59.25,12.86389,,,
59.33333,13.58056,,,
59.41667,12.78333,,,
59.5,13.01667,,,
59.58333,12.99167,,,
59.66667,13.04444,,,
59.75,12.54722,,,
59.83333,13.50833,,,
59.91667,13.58611,,,
60.0,12.99444,,,
60.08333,13.18889,,,
60.16667,13.33889,,,
60.25,13.06111,,,
60.33333,13.15556,,,
60.41667,12.79167,,,
60.5,12.88333,,,
60.58333,13.06389,,,
60.66667,12.72778,,,
60.75,13.03333,,,
60.83333,13.47778,,,
60.91667,13.91667,,,
61.0,13.18056,,,
61.08333,13.45833,,,
61.16667,13.43333,,,
61.25,13.35833,,,
61.33333,13.28056,,,
61.41667,13.83333,,,
61.5,13.19444,,,
61.58333,13.07222,,,
61.66667,13.59722,,,
61.75,13.20556,,,
61.83333,12.87222,,,
61.91667,12.53056,,,
62.0,13.01389,,,
62.08333,13.04167,,,
62.16667,12.92778,,,
62.25,13.51944,,,
62.33333,13.55,,,
62.41667,13.14722,,,
62.5,13.21667,,,
62.58333,12.96389,,,
62.66667,13.31944,,,
62.75,13.13333,,,
62.83333,13.44444,,,
62.91667,13.55556,,,
63.0,13.23889,,,
63.08333,12.83056,,,
63.16667,13.36944,,,
63.25,12.93889,,,
63.33333,12.95278,,,
63.41667,13.70833,,,
63.5,13.23611,,,
63.58333,13.08889,,,
63.66667,12.88056,,,
63.75,13.21667,,,
63.83333,13.66667,,,
63.91667,13.43333,,,
64.0,13.59167,,,
64.08333,13.28333,,,
64.16667,13.18611,,,
64.25,13.47222,,,
64.33333,12.69722,,,
64.41667,13.35,,,
64.5,12.87778,,,
64.58333,13.64167,,,
64.66667,13.20833,,,
64.75,13.2,,,
64.83333,12.98056,,,
64.91667,13.04444,,,
65.0,13.18333,,,
65.08333,13.11389,,,
65.16667,13.31667,,,
65.25,13.28333,,,
65.33333,13.08333,,,
65.41667,13.25,,,
65.5,12.95278,,,
65.58333,12.97222,,,
65.66667,13.75833,,,
65.75,13.03333,,,
65.83333,13.26389,,,
65.91667,13.10556,,,
66.0,13.62778,,,
66.08333,12.74722,,,
66.16667,13.39444,,,
66.25,13.67222,,,
66.33333,13.38056,,,
66.41667,13.26111,,,
66.5,13.17778,,,
66.58333,12.7,,,
66.66667,13.39444,,,
66.75,12.81111,,,
66.83333,12.49167,,,
66.91667,13.31667,,,
67.0,12.94444,,,
67.08333,13.51944,,,
67.16667,13.22222,,,
67.25,13.36111,,,
67.33333,13.31667,,,
67.41667,13.78611,,,
67.5,13.275,,,
67.58333,12.92778,,,
67.66667,13.14444,,,
67.75,12.87222,,,
67.83333,13.175,,,
67.91667,13.12222,,,
68.0,12.88611,,,
68.08333,14.21667,,,
68.16667,13.51111,,,
68.25,13.65833,,,
68.33333,13.35,,,
68.41667,12.97778,,,
68.5,13.34444,,,
68.58333,12.95,,,
68.66667,12.96667,,,
68.75,13.26944,,,
68.83333,13.27222,,,
68.91667,12.88611,,,
69.0,13.26111,,,
69.08333,13.22778,,,
69.16667,13.36111,,,
69.25,13.2,,,
69.33333,13.48333,,,
69.41667,12.64444,,,
69.5,13.43611,,,
69.58333,12.98889,,,
69.66667,13.36389,,,
69.75,12.95,,,
69.83333,13.675,,,
69.91667,13.01389,,,
70.0,13.49722,,,
70.08333,13.14722,,,
70.16667,13.55278,,,
70.25,13.38333,,,
70.33333,13.575,,,
70.41667,13.00833,,,
70.5,13.275,,,
70.58333,13.28056,,,
70.66667,13.6,,,
70.75,14.05556,,,
70.83333,13.63056,,,
70.91667,12.95,,,
71.0,13.71389,,,
71.08333,13.175,,,
71.16667,12.85556,,,
71.25,13.23333,,,
71.33333,13.20278,,,
71.41667,13.33889,,,
71.5,13.69722,,,
71.58333,12.8,,,
71.66667,13.275,,,
71.75,12.99444,,,
71.83333,13.27778,,,
71.91667,12.85833,,,
72.0,13.31111,,,
72.08333,13.44444,,,
72.16667,13.18056,,,
72.25,13.475,,,
72.33333,13.5,,,
72.41667,13.35278,,,
72.5,13.31944,,,
72.58333,13.13611,,,
72.66667,13.30833,,,
72.75,13.75,,,
72.83333,12.94444,,,
72.91667,13.39444,,,
73.0,13.41111,,,
73.08333,13.51667,,,
73.16667,13.16111,,,
73.25,12.7,,,
73.33333,13.04167,,,
73.41667,13.53889,,,
73.5,12.78889,,,
73.58333,13.275,,,
73.66667,13.43056,,,
73.75,12.51111,,,
73.83333,13.52222,,,
73.91667,13.49167,,,
74.0,12.71111,,,
74.08333,13.04167,,,
74.16667,13.16389,,,
74.25,13.79167,,,
74.33333,13.87778,,,
74.41667,13.23333,,,
74.5,12.88611,,,
74.58333,13.56111,,,
74.66667,13.00556,,,
74.75,13.24444,,,
74.83333,13.25278,,,
74.91667,12.925,,,
75.0,13.02778,,,
75.08333,13.49167,,,
75.16667,13.44722,,,
75.25,13.76111,,,
75.33333,13.56389,,,
75.41667,13.39167,,,
75.5,13.025,,,
75.58333,13.225,,,
75.66667,13.36389,,,
75.75,13.08333,,,
75.83333,13.36944,,,
75.91667,13.13333,,,
76.0,13.13611,,,
76.08333,13.50556,,,
76.16667,13.59444,,,
76.25,13.49444,,,
76.33333,13.46389,,,
76.41667,13.15833,,,
76.5,12.50556,,,
